Name,Team,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
TenZ,No Team,jett,(214) 47%,4469,1.17,263.8,1.31,156.4,72%,0.92,0.20,0.21,0.14,4112,3135,903,933,542
TenZ,No Team,omen,(68) 15%,1440,1.12,214.4,1.14,139.1,76%,0.76,0.44,0.10,0.09,1101,966,632,146,126
TenZ,No Team,reyna,(66) 15%,1332,1.31,285.7,1.49,173.8,77%,0.99,0.29,0.19,0.12,1325,892,385,253,159
TenZ,No Team,raze,(33) 7%,713,1.03,277.4,1.17,168.9,69%,0.90,0.27,0.18,0.16,642,548,190,130,85
TenZ,No Team,kayo,(27) 6%,575,1.08,218.3,0.98,139.6,75%,0.73,0.63,0.09,0.09,421,429,361,49,51
TenZ,No Team,yoru,(13) 3%,263,1.00,225.2,0.99,145.9,69%,0.76,0.30,0.18,0.16,199,201,78,47,41
TenZ,No Team,chamber,(8) 2%,208,1.10,229.6,1.20,147.7,70%,0.84,0.11,0.14,0.11,174,145,22,30,23
TenZ,No Team,gekko,(8) 2%,170,1.01,193.5,0.93,123.2,69%,0.66,0.33,0.12,0.09,113,121,56,20,15
TenZ,No Team,breach,(6) 1%,144,1.21,213.2,1.19,142.7,74%,0.78,0.42,0.03,0.02,113,95,61,4,3
TenZ,No Team,sage,(4) 1%,90,0.95,261.3,1.25,128.7,63%,0.93,0.22,0.17,0.09,84,67,20,15,4
TenZ,No Team,viper,(3) 1%,56,,274.3,1.30,,,0.93,0.14,0.11,,52,40,8,6,0
TenZ,No Team,neon,(1) 0%,26,0.95,208.0,0.89,140.1,65%,0.62,0.35,0.15,0.19,16,18,9,4,5
TenZ,No Team,phoenix,(1) 0%,24,,255.0,1.71,149.8,,1.00,0.08,0.13,0.13,24,14,2,3,3
TenZ,No Team,iso,(1) 0%,24,1.21,281.0,1.16,178.5,67%,0.92,0.21,0.13,0.21,22,19,5,3,5
TenZ,No Team,harbor,(1) 0%,18,1.07,227.0,1.07,171.9,72%,0.83,0.33,0.00,0.00,15,14,6,0,0
